"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2015";"0000";"25,2";"25,9";"24,7";"85,0";"";"";"";"";"";"";"973,2";"";"1,0";"0,0";"4,6";"";"0,0"
"01/01/2015";"0100";"24,6";"25,4";"24,1";"88,0";"";"";"";"";"";"";"973,8";"";"1,0";"90,0";"4,8";"";"0,0"
"01/01/2015";"0200";"24,2";"24,7";"23,9";"90,0";"";"";"";"";"";"";"974,5";"";"1,0";"45,0";"4,7";"";"0,0"
"01/01/2015";"0300";"24,1";"24,8";"23,8";"90,0";"";"";"";"";"";"";"974,5";"";"0,0";"0,0";"3,2";"";"0,0"
"01/01/2015";"0400";"24,0";"24,6";"23,7";"91,0";"";"";"";"";"";"";"974,1";"";"1,0";"45,0";"3,8";"";"0,0"
"01/01/2015";"0500";"24,1";"24,7";"23,7";"88,0";"";"";"";"";"";"";"974,0";"";"1,0";"45,0";"4,1";"";"0,0"
"01/01/2015";"0600";"23,6";"24,3";"23,0";"90,0";"";"";"";"";"";"";"973,7";"";"1,0";"45,0";"2,8";"";"0,0"
"01/01/2015";"0700";"23,0";"23,6";"22,5";"92,0";"";"";"";"";"";"";"973,4";"";"0,0";"135,0";"2,8";"";"0,0"
"01/01/2015";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2015";"0900";"22,5";"23,2";"22,1";"94,0";"";"";"";"";"";"";"974,0";"";"0,0";"0,0";"1,7";"4,50";"0,0"
"01/01/2015";"1000";"22,9";"24,6";"22,1";"92,0";"";"";"";"";"";"";"974,7";"";"0,0";"135,0";"2,1";"221,40";"0,0"
"01/01/2015";"1100";"25,7";"27,5";"24,0";"83,0";"";"";"";"";"";"";"976,0";"";"1,0";"45,0";"4,0";"827,10";"0,0"
"01/01/2015";"1200";"28,3";"30,0";"26,8";"72,0";"";"";"";"";"";"";"976,9";"";"2,0";"45,0";"6,9";"1683,00";"0,0"
"01/01/2015";"1300";"30,0";"31,1";"29,3";"65,0";"";"";"";"";"";"";"977,0";"";"3,0";"0,0";"10,1";"2341,80";"0,0"
"01/01/2015";"1400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2015";"1500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2015";"1600";"32,9";"34,0";"32,2";"56,0";"";"";"";"";"";"";"975,4";"";"4,0";"0,0";"10,0";"2967,30";"0,0"
"01/01/2015";"1700";"32,5";"33,7";"31,7";"60,0";"";"";"";"";"";"";"974,7";"";"4,0";"315,0";"13,4";"1620,90";"1,6"
"01/01/2015";"1800";"23,9";"25,0";"23,2";"88,0";"";"";"";"";"";"";"974,0";"";"2,0";"0,0";"6,9";"262,80";"0,4"
"01/01/2015";"1900";"24,9";"25,8";"23,9";"91,0";"";"";"";"";"";"";"973,1";"";"1,0";"0,0";"3,8";"422,10";"0,2"
"01/01/2015";"2000";"26,1";"27,1";"25,3";"86,0";"";"";"";"";"";"";"972,5";"";"1,0";"45,0";"5,5";"675,90";"0,0"
"01/01/2015";"2100";"26,5";"27,1";"26,2";"79,0";"";"";"";"";"";"";"972,7";"";"2,0";"45,0";"5,7";"856,80";"0,0"
"01/01/2015";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2015";"2300";"25,9";"27,0";"24,9";"83,0";"";"";"";"";"";"";"972,9";"";"2,0";"45,0";"6,2";"39,60";"0,0"
"02/01/2015";"0000";"24,8";"25,5";"24,2";"88,0";"";"";"";"";"";"";"973,7";"";"0,0";"90,0";"1,8";"";"0,0"
"02/01/2015";"0100";"24,0";"25,0";"23,1";"91,0";"";"";"";"";"";"";"974,4";"";"0,0";"90,0";"1,4";"";"0,0"
"02/01/2015";"0200";"23,4";"24,1";"23,0";"94,0";"";"";"";"";"";"";"974,9";"";"0,0";"0,0";"2,4";"";"0,0"
"02/01/2015";"0300";"23,1";"23,9";"22,3";"95,0";"";"";"";"";"";"";"974,6";"";"0,0";"0,0";"1,5";"";"0,0"
"02/01/2015";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2015";"0500";"24,7";"25,3";"24,3";"89,0";"";"";"";"";"";"";"975,1";"";"1,0";"225,0";"4,4";"";"0,8"
"02/01/2015";"0600";"23,3";"24,5";"22,7";"93,0";"";"";"";"";"";"";"974,9";"";"1,0";"180,0";"5,4";"";"0,6"
"02/01/2015";"0700";"22,8";"23,5";"22,4";"94,0";"";"";"";"";"";"";"974,9";"";"0,0";"180,0";"3,1";"";"0,0"
"02/01/2015";"0800";"23,0";"23,7";"22,5";"93,0";"";"";"";"";"";"";"975,6";"";"1,0";"135,0";"3,6";"";"0,0"
"02/01/2015";"0900";"22,7";"23,4";"22,2";"95,0";"";"";"";"";"";"";"976,3";"";"0,0";"180,0";"1,9";"1,80";"0,0"
"02/01/2015";"1000";"23,2";"24,2";"22,6";"94,0";"";"";"";"";"";"";"976,4";"";"0,0";"0,0";"2,4";"136,80";"0,0"
"02/01/2015";"1100";"24,2";"25,1";"23,6";"92,0";"";"";"";"";"";"";"976,6";"";"0,0";"0,0";"2,2";"272,70";"0,0"
