"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2019";"0000";"29,9";"30,6";"29,2";"64,0";"";"";"";"";"";"";"975,4";"";"4,0";"90,0";"8,1";"";"0,0"
"01/01/2019";"0100";"28,4";"29,3";"27,8";"68,0";"";"";"";"";"";"";"976,3";"";"3,0";"90,0";"7,8";"";"0,0"
"01/01/2019";"0200";"27,4";"28,0";"26,7";"72,0";"";"";"";"";"";"";"976,7";"";"2,0";"90,0";"4,4";"";"0,0"
"01/01/2019";"0300";"26,1";"27,0";"25,5";"79,0";"";"";"";"";"";"";"976,4";"";"1,0";"90,0";"4,0";"";"0,0"
"01/01/2019";"0400";"25,7";"26,2";"25,0";"80,0";"";"";"";"";"";"";"975,9";"";"1,0";"90,0";"4,3";"";"0,0"
"01/01/2019";"0500";"24,5";"25,0";"23,8";"88,0";"";"";"";"";"";"";"975,6";"";"0,0";"180,0";"1,6";"";"0,0"
"01/01/2019";"0600";"24,3";"24,9";"23,6";"89,0";"";"";"";"";"";"";"975,7";"";"0,0";"0,0";"1,5";"";"0,0"
"01/01/2019";"0700";"23,7";"24,4";"23,0";"91,0";"";"";"";"";"";"";"976,0";"";"0,0";"225,0";"1,9";"";"0,0"
"01/01/2019";"0800";"23,0";"23,6";"22,7";"95,0";"";"";"";"";"";"";"976,9";"";"0,0";"0,0";"1,1";"";"0,0"
"01/01/2019";"0900";"22,7";"23,6";"22,2";"96,0";"";"";"";"";"";"";"978,1";"";"0,0";"45,0";"1,1";"5,40";"0,0"
"01/01/2019";"1000";"23,9";"25,3";"22,7";"92,0";"";"";"";"";"";"";"979,1";"";"0,0";"135,0";"3,0";"141,30";"0,0"
"01/01/2019";"1100";"26,1";"26,8";"25,2";"80,0";"";"";"";"";"";"";"979,8";"";"2,0";"90,0";"4,5";"511,20";"0,0"
"01/01/2019";"1200";"28,6";"29,9";"26,6";"70,0";"";"";"";"";"";"";"980,0";"";"3,0";"90,0";"7,2";"1643,40";"0,0"
"01/01/2019";"1300";"30,4";"31,7";"29,4";"61,0";"";"";"";"";"";"";"980,0";"";"5,0";"45,0";"9,9";"2502,90";"0,0"
"01/01/2019";"1400";"31,6";"33,3";"30,5";"58,0";"";"";"";"";"";"";"979,6";"";"5,0";"45,0";"10,0";"3068,10";"0,0"
"01/01/2019";"1500";"32,9";"33,8";"32,1";"55,0";"";"";"";"";"";"";"979,4";"";"4,0";"45,0";"9,2";"3439,80";"0,0"
"01/01/2019";"1600";"33,8";"35,4";"33,0";"52,0";"";"";"";"";"";"";"978,6";"";"4,0";"45,0";"10,0";"3131,10";"0,0"
"01/01/2019";"1700";"35,3";"36,3";"34,3";"48,0";"";"";"";"";"";"";"977,8";"";"4,0";"45,0";"8,5";"3429,90";"0,0"
"01/01/2019";"1800";"35,5";"36,4";"34,2";"46,0";"";"";"";"";"";"";"977,0";"";"4,0";"45,0";"11,0";"2700,00";"0,0"
"01/01/2019";"1900";"35,9";"36,7";"34,7";"44,0";"";"";"";"";"";"";"976,2";"";"3,0";"45,0";"8,3";"2633,40";"0,0"
"01/01/2019";"2000";"35,9";"37,2";"35,0";"44,0";"";"";"";"";"";"";"975,5";"";"4,0";"45,0";"9,0";"2023,20";"0,0"
"01/01/2019";"2100";"35,0";"35,7";"34,1";"45,0";"";"";"";"";"";"";"975,1";"";"4,0";"45,0";"8,6";"1143,00";"0,0"
"01/01/2019";"2200";"33,8";"35,0";"32,5";"47,0";"";"";"";"";"";"";"975,4";"";"3,0";"45,0";"6,7";"268,20";"0,0"
"01/01/2019";"2300";"31,1";"32,7";"29,4";"60,0";"";"";"";"";"";"";"976,4";"";"1,0";"0,0";"3,8";"8,10";"0,0"
"02/01/2019";"0000";"27,9";"30,0";"26,8";"80,0";"";"";"";"";"";"";"976,9";"";"0,0";"0,0";"1,5";"";"0,0"
"02/01/2019";"0100";"26,6";"27,3";"26,0";"86,0";"";"";"";"";"";"";"977,5";"";"0,0";"315,0";"2,4";"";"0,0"
"02/01/2019";"0200";"26,4";"27,0";"25,9";"87,0";"";"";"";"";"";"";"978,4";"";"0,0";"180,0";"1,9";"";"0,0"
"02/01/2019";"0300";"27,1";"27,9";"26,4";"82,0";"";"";"";"";"";"";"978,9";"";"1,0";"0,0";"2,7";"";"0,0"
"02/01/2019";"0400";"26,6";"27,7";"25,5";"83,0";"";"";"";"";"";"";"978,6";"";"0,0";"315,0";"2,1";"";"0,0"
"02/01/2019";"0500";"25,3";"25,7";"24,9";"90,0";"";"";"";"";"";"";"977,8";"";"0,0";"225,0";"1,6";"";"0,0"
"02/01/2019";"0600";"24,5";"25,3";"23,8";"93,0";"";"";"";"";"";"";"977,1";"";"0,0";"225,0";"1,1";"";"0,0"
"02/01/2019";"0700";"23,7";"24,1";"23,4";"94,0";"";"";"";"";"";"";"977,4";"";"0,0";"180,0";"1,1";"";"0,0"
"02/01/2019";"0800";"23,5";"24,1";"23,1";"93,0";"";"";"";"";"";"";"977,9";"";"0,0";"180,0";"1,3";"";"0,0"
"02/01/2019";"0900";"24,0";"25,0";"23,2";"89,0";"";"";"";"";"";"";"978,5";"";"0,0";"135,0";"3,0";"3,60";"0,0"
"02/01/2019";"1000";"24,5";"26,1";"23,4";"88,0";"";"";"";"";"";"";"979,2";"";"0,0";"180,0";"2,1";"213,30";"0,0"
"02/01/2019";"1100";"27,1";"28,5";"25,7";"78,0";"";"";"";"";"";"";"979,8";"";"1,0";"90,0";"4,6";"707,40";"0,0"
"02/01/2019";"1200";"29,0";"30,2";"28,1";"72,0";"";"";"";"";"";"";"980,2";"";"3,0";"45,0";"6,9";"1314,90";"0,0"
"02/01/2019";"1300";"30,5";"31,9";"27,6";"69,0";"";"";"";"";"";"";"980,4";"";"2,0";"0,0";"6,6";"1308,60";"1,6"
"02/01/2019";"1400";"28,4";"30,1";"26,7";"86,0";"";"";"";"";"";"";"980,2";"";"2,0";"0,0";"8,3";"1184,40";"1,8"
