"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2017";"0000";"24,7";"25,3";"24,2";"87,0";"";"";"";"";"";"";"976,5";"";"0,0";"45,0";"0,9";"";"0,0"
"01/01/2017";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2017";"0200";"23,9";"24,1";"23,7";"87,0";"";"";"";"";"";"";"978,4";"";"0,0";"45,0";"2,1";"";"0,0"
"01/01/2017";"0300";"23,9";"24,2";"23,6";"87,0";"";"";"";"";"";"";"978,5";"";"1,0";"45,0";"2,8";"";"0,0"
"01/01/2017";"0400";"23,7";"24,2";"23,5";"88,0";"";"";"";"";"";"";"978,5";"";"1,0";"45,0";"3,3";"";"0,0"
"01/01/2017";"0500";"23,5";"24,0";"23,2";"87,0";"";"";"";"";"";"";"978,0";"";"1,0";"45,0";"3,4";"";"0,0"
"01/01/2017";"0600";"23,1";"23,7";"22,8";"89,0";"";"";"";"";"";"";"977,5";"";"1,0";"45,0";"3,6";"";"0,0"
"01/01/2017";"0700";"22,9";"23,4";"22,6";"90,0";"";"";"";"";"";"";"978,2";"";"0,0";"135,0";"1,2";"";"0,0"
"01/01/2017";"0800";"22,9";"23,1";"22,7";"90,0";"";"";"";"";"";"";"978,4";"";"1,0";"90,0";"3,3";"";"0,0"
"01/01/2017";"0900";"22,6";"23,1";"22,0";"90,0";"";"";"";"";"";"";"978,2";"";"1,0";"0,0";"3,1";"2,70";"0,0"
"01/01/2017";"1000";"22,4";"23,3";"22,0";"92,0";"";"";"";"";"";"";"978,9";"";"0,0";"0,0";"1,8";"130,50";"0,0"
