"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2016";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"1200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"1300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"1400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"1500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"1700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"1800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2016";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2016";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2016";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2016";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2016";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2016";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2016";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2016";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2016";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2016";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2016";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2016";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2016";"1100";"23,3";"25,1";"22,2";"96,0";"";"";"";"";"";"";"978,2";"";"0,0";"180,0";"1,7";"782,10";"0,0"
"02/01/2016";"1200";"25,4";"27,1";"24,1";"85,0";"";"";"";"";"";"";"978,7";"";"1,0";"90,0";"3,2";"2068,20";"0,0"
"02/01/2016";"1300";"27,6";"29,2";"26,2";"76,0";"";"";"";"";"";"";"978,6";"";"1,0";"90,0";"3,2";"2893,50";"0,0"
"02/01/2016";"1400";"29,4";"30,9";"27,9";"70,0";"";"";"";"";"";"";"978,1";"";"1,0";"225,0";"3,6";"3511,80";"0,0"
"02/01/2016";"1500";"30,6";"31,9";"29,7";"65,0";"";"";"";"";"";"";"977,7";"";"1,0";"270,0";"3,9";"3212,10";"0,0"
"02/01/2016";"1600";"30,5";"32,4";"29,5";"65,0";"";"";"";"";"";"";"976,9";"";"0,0";"0,0";"2,7";"1502,40";"0,0"
"02/01/2016";"1700";"29,9";"31,6";"28,8";"72,0";"";"";"";"";"";"";"975,5";"";"1,0";"0,0";"3,3";"1031,40";"0,0"
"02/01/2016";"1800";"29,8";"31,1";"29,1";"72,0";"";"";"";"";"";"";"975,1";"";"1,0";"0,0";"4,6";"1485,90";"0,0"
"02/01/2016";"1900";"29,1";"30,0";"28,4";"76,0";"";"";"";"";"";"";"975,0";"";"1,0";"0,0";"4,4";"1000,80";"0,0"
"02/01/2016";"2000";"28,4";"29,3";"27,7";"81,0";"";"";"";"";"";"";"975,0";"";"1,0";"0,0";"3,3";"522,00";"0,0"
"02/01/2016";"2100";"27,3";"28,4";"26,4";"87,0";"";"";"";"";"";"";"975,1";"";"1,0";"0,0";"3,2";"182,70";"0,0"
"02/01/2016";"2200";"25,9";"27,0";"25,1";"90,0";"";"";"";"";"";"";"974,9";"";"1,0";"315,0";"3,7";"23,40";"0,0"
"02/01/2016";"2300";"25,0";"26,0";"24,3";"93,0";"";"";"";"";"";"";"975,2";"";"0,0";"315,0";"0,9";"";"0,0"
"03/01/2016";"0000";"24,3";"25,1";"23,7";"96,0";"";"";"";"";"";"";"976,0";"";"0,0";"45,0";"1,3";"";"0,0"
"03/01/2016";"0100";"23,8";"24,5";"23,5";"97,0";"";"";"";"";"";"";"976,6";"";"0,0";"0,0";"1,4";"";"0,0"
"03/01/2016";"0200";"23,7";"24,3";"23,1";"96,0";"";"";"";"";"";"";"976,5";"";"0,0";"315,0";"1,7";"";"0,0"
"03/01/2016";"0300";"23,3";"24,0";"23,0";"97,0";"";"";"";"";"";"";"976,3";"";"0,0";"0,0";"1,5";"";"0,0"
"03/01/2016";"0400";"23,4";"24,1";"23,1";"98,0";"";"";"";"";"";"";"975,8";"";"0,0";"135,0";"1,7";"";"0,0"
"03/01/2016";"0500";"23,7";"24,3";"23,3";"97,0";"";"";"";"";"";"";"975,1";"";"1,0";"135,0";"2,6";"";"0,0"
"03/01/2016";"0600";"23,4";"24,2";"23,0";"93,0";"";"";"";"";"";"";"975,0";"";"1,0";"135,0";"3,7";"";"0,0"
"03/01/2016";"0700";"23,1";"23,9";"22,6";"92,0";"";"";"";"";"";"";"975,1";"";"1,0";"135,0";"3,0";"";"0,0"
"03/01/2016";"0800";"22,8";"23,6";"22,4";"91,0";"";"";"";"";"";"";"975,6";"";"1,0";"90,0";"3,6";"1,80";"0,0"
"03/01/2016";"0900";"22,8";"23,6";"22,4";"91,0";"";"";"";"";"";"";"976,2";"";"1,0";"90,0";"3,7";"84,60";"0,0"
"03/01/2016";"1000";"23,5";"24,4";"22,9";"89,0";"";"";"";"";"";"";"977,0";"";"2,0";"90,0";"4,9";"396,90";"0,0"
"03/01/2016";"1100";"24,6";"25,5";"23,8";"86,0";"";"";"";"";"";"";"977,6";"";"3,0";"90,0";"6,9";"875,70";"0,0"
"03/01/2016";"1200";"25,7";"27,7";"24,8";"84,0";"";"";"";"";"";"";"978,1";"";"3,0";"90,0";"5,7";"884,40";"0,0"
"03/01/2016";"1300";"26,4";"27,7";"25,6";"82,0";"";"";"";"";"";"";"978,5";"";"3,0";"90,0";"6,2";"1508,40";"0,0"
"03/01/2016";"1400";"28,2";"29,7";"26,9";"76,0";"";"";"";"";"";"";"978,1";"";"2,0";"45,0";"5,2";"2417,40";"0,0"
"03/01/2016";"1500";"29,1";"30,1";"28,4";"74,0";"";"";"";"";"";"";"977,4";"";"3,0";"90,0";"6,0";"2473,20";"0,0"
"03/01/2016";"1600";"29,3";"30,6";"28,4";"73,0";"";"";"";"";"";"";"977,0";"";"2,0";"90,0";"4,8";"1795,50";"0,0"
"03/01/2016";"1700";"30,9";"33,0";"29,2";"66,0";"";"";"";"";"";"";"976,0";"";"2,0";"45,0";"5,1";"3026,70";"0,0"
"03/01/2016";"1800";"31,6";"33,0";"30,6";"62,0";"";"";"";"";"";"";"974,9";"";"1,0";"45,0";"3,7";"2930,40";"0,0"
"03/01/2016";"1900";"30,8";"32,6";"30,0";"68,0";"";"";"";"";"";"";"974,2";"";"2,0";"90,0";"4,7";"1437,30";"0,0"
"03/01/2016";"2000";"30,1";"31,3";"28,7";"71,0";"";"";"";"";"";"";"973,8";"";"1,0";"45,0";"5,4";"415,80";"0,0"
"03/01/2016";"2100";"28,0";"29,3";"27,2";"82,0";"";"";"";"";"";"";"973,9";"";"2,0";"90,0";"5,3";"204,30";"0,0"
"03/01/2016";"2200";"26,5";"27,8";"25,6";"85,0";"";"";"";"";"";"";"974,9";"";"3,0";"90,0";"6,7";"33,30";"0,0"
"03/01/2016";"2300";"25,7";"26,4";"25,3";"86,0";"";"";"";"";"";"";"975,9";"";"3,0";"90,0";"5,8";"";"0,0"
"04/01/2016";"0000";"25,3";"26,2";"25,0";"89,0";"";"";"";"";"";"";"977,1";"";"2,0";"90,0";"5,5";"0,90";"0,0"
"04/01/2016";"0100";"25,0";"25,7";"24,6";"91,0";"";"";"";"";"";"";"977,7";"";"2,0";"90,0";"4,8";"";"0,0"
"04/01/2016";"0200";"24,6";"25,5";"24,0";"91,0";"";"";"";"";"";"";"977,5";"";"3,0";"90,0";"6,1";"";"0,0"
"04/01/2016";"0300";"24,0";"24,8";"23,7";"92,0";"";"";"";"";"";"";"976,5";"";"2,0";"90,0";"5,7";"";"0,0"
"04/01/2016";"0400";"24,0";"24,6";"23,7";"91,0";"";"";"";"";"";"";"975,9";"";"3,0";"90,0";"7,8";"0,90";"0,0"
"04/01/2016";"0500";"23,9";"24,5";"23,6";"90,0";"";"";"";"";"";"";"975,8";"";"4,0";"90,0";"8,0";"";"0,0"
"04/01/2016";"0600";"23,9";"24,4";"23,5";"91,0";"";"";"";"";"";"";"975,9";"";"4,0";"90,0";"6,4";"";"0,0"
"04/01/2016";"0700";"23,8";"24,4";"23,4";"91,0";"";"";"";"";"";"";"976,0";"";"3,0";"90,0";"6,4";"";"0,0"
"04/01/2016";"0800";"23,6";"24,3";"23,3";"88,0";"";"";"";"";"";"";"976,5";"";"4,0";"90,0";"8,2";"1,80";"0,0"
"04/01/2016";"0900";"23,6";"24,2";"23,4";"85,0";"";"";"";"";"";"";"977,6";"";"3,0";"45,0";"7,2";"114,30";"0,0"
"04/01/2016";"1000";"23,6";"24,2";"23,1";"86,0";"";"";"";"";"";"";"978,4";"";"3,0";"90,0";"7,3";"227,70";"0,0"
"04/01/2016";"1100";"24,1";"25,3";"23,3";"83,0";"";"";"";"";"";"";"978,9";"";"4,0";"45,0";"8,8";"807,30";"0,0"
"04/01/2016";"1200";"25,4";"26,4";"24,8";"76,0";"";"";"";"";"";"";"979,0";"";"5,0";"45,0";"12,2";"1784,40";"0,0"
"04/01/2016";"1300";"25,0";"25,8";"24,5";"79,0";"";"";"";"";"";"";"979,0";"";"4,0";"90,0";"7,9";"706,50";"0,0"
"04/01/2016";"1400";"24,7";"25,5";"24,3";"85,0";"";"";"";"";"";"";"978,9";"";"2,0";"45,0";"5,0";"488,70";"0,2"
"04/01/2016";"1500";"25,3";"26,1";"24,7";"82,0";"";"";"";"";"";"";"978,5";"";"2,0";"45,0";"4,3";"882,90";"0,0"
"04/01/2016";"1600";"26,2";"27,7";"25,2";"77,0";"";"";"";"";"";"";"977,9";"";"2,0";"45,0";"6,4";"1684,80";"0,0"
"04/01/2016";"1700";"28,7";"29,7";"27,0";"68,0";"";"";"";"";"";"";"977,0";"";"4,0";"45,0";"8,0";"3176,40";"0,0"
"04/01/2016";"1800";"29,1";"30,0";"28,4";"66,0";"";"";"";"";"";"";"976,6";"";"3,0";"45,0";"6,9";"2385,90";"0,0"
"04/01/2016";"1900";"29,6";"30,5";"28,8";"66,0";"";"";"";"";"";"";"975,1";"";"3,0";"90,0";"6,5";"1846,80";"0,0"
"04/01/2016";"2000";"29,7";"30,6";"28,9";"67,0";"";"";"";"";"";"";"975,3";"";"3,0";"90,0";"6,4";"1141,20";"0,0"
"04/01/2016";"2100";"28,3";"29,6";"27,2";"74,0";"";"";"";"";"";"";"975,7";"";"1,0";"90,0";"4,0";"216,00";"0,0"
"04/01/2016";"2200";"26,6";"27,7";"25,8";"84,0";"";"";"";"";"";"";"975,5";"";"2,0";"90,0";"3,8";"10,80";"0,0"
"04/01/2016";"2300";"25,8";"26,4";"25,3";"86,0";"";"";"";"";"";"";"975,0";"";"3,0";"90,0";"5,5";"";"0,0"
"05/01/2016";"0000";"25,5";"26,3";"25,0";"86,0";"";"";"";"";"";"";"976,3";"";"2,0";"90,0";"4,4";"";"0,0"
"05/01/2016";"0100";"25,3";"26,0";"24,9";"86,0";"";"";"";"";"";"";"977,2";"";"3,0";"45,0";"4,7";"0,90";"0,0"
"05/01/2016";"0200";"24,9";"25,8";"24,2";"87,0";"";"";"";"";"";"";"977,2";"";"2,0";"90,0";"5,1";"";"0,0"
"05/01/2016";"0300";"24,1";"24,8";"23,6";"91,0";"";"";"";"";"";"";"977,0";"";"2,0";"90,0";"4,2";"";"0,0"
"05/01/2016";"0400";"23,8";"24,4";"23,5";"92,0";"";"";"";"";"";"";"976,6";"";"2,0";"90,0";"4,3";"";"0,0"
"05/01/2016";"0500";"24,0";"24,7";"23,6";"91,0";"";"";"";"";"";"";"976,4";"";"3,0";"90,0";"5,1";"";"0,0"
"05/01/2016";"0600";"23,9";"24,7";"23,4";"90,0";"";"";"";"";"";"";"976,5";"";"2,0";"90,0";"5,3";"";"0,0"
"05/01/2016";"0700";"23,5";"24,2";"23,2";"91,0";"";"";"";"";"";"";"977,0";"";"2,0";"90,0";"4,4";"";"0,0"
"05/01/2016";"0800";"23,2";"24,0";"22,6";"90,0";"";"";"";"";"";"";"977,5";"";"3,0";"90,0";"4,9";"0,90";"0,0"
"05/01/2016";"0900";"23,0";"23,6";"22,6";"93,0";"";"";"";"";"";"";"978,1";"";"3,0";"90,0";"5,0";"117,00";"0,0"
"05/01/2016";"1000";"24,0";"24,9";"23,0";"86,0";"";"";"";"";"";"";"978,9";"";"4,0";"45,0";"8,2";"615,60";"0,0"
"05/01/2016";"1100";"25,1";"26,7";"23,9";"78,0";"";"";"";"";"";"";"979,1";"";"5,0";"45,0";"9,8";"1538,10";"0,0"
"05/01/2016";"1200";"26,6";"27,5";"25,8";"70,0";"";"";"";"";"";"";"979,4";"";"4,0";"45,0";"8,9";"1784,70";"0,0"
"05/01/2016";"1300";"27,6";"29,5";"26,4";"66,0";"";"";"";"";"";"";"979,2";"";"5,0";"45,0";"9,8";"1920,60";"0,0"
"05/01/2016";"1400";"28,8";"30,4";"27,7";"65,0";"";"";"";"";"";"";"979,0";"";"3,0";"45,0";"7,9";"2145,60";"0,0"
"05/01/2016";"1500";"29,9";"31,2";"29,1";"64,0";"";"";"";"";"";"";"978,5";"";"3,0";"45,0";"6,2";"2192,40";"0,0"
"05/01/2016";"1600";"30,4";"31,9";"29,7";"65,0";"";"";"";"";"";"";"978,0";"";"2,0";"45,0";"5,5";"1665,00";"0,0"
"05/01/2016";"1700";"31,0";"32,4";"30,2";"64,0";"";"";"";"";"";"";"977,5";"";"2,0";"45,0";"4,7";"1528,20";"0,0"
"05/01/2016";"1800";"29,9";"31,3";"28,9";"71,0";"";"";"";"";"";"";"976,8";"";"1,0";"0,0";"4,0";"549,00";"0,0"
"05/01/2016";"1900";"28,4";"29,7";"27,3";"76,0";"";"";"";"";"";"";"975,5";"";"1,0";"0,0";"5,3";"509,40";"0,0"
"05/01/2016";"2000";"27,3";"28,0";"26,9";"77,0";"";"";"";"";"";"";"975,0";"";"1,0";"0,0";"3,7";"673,20";"0,0"
"05/01/2016";"2100";"28,4";"29,5";"27,2";"75,0";"";"";"";"";"";"";"975,3";"";"0,0";"135,0";"1,9";"595,80";"0,0"
"05/01/2016";"2200";"26,5";"27,7";"25,5";"87,0";"";"";"";"";"";"";"975,4";"";"0,0";"45,0";"1,4";"24,30";"0,0"
"05/01/2016";"2300";"25,0";"25,8";"24,5";"92,0";"";"";"";"";"";"";"976,0";"";"0,0";"180,0";"1,9";"";"0,0"
