"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2020";"0000";"24,5";"25,0";"24,0";"92,0";"";"";"";"";"";"";"975,4";"";"1,0";"0,0";"3,3";"";"0,0"
"01/01/2020";"0100";"24,0";"24,7";"23,5";"93,0";"";"";"";"";"";"";"975,5";"";"1,0";"0,0";"3,6";"";"0,0"
"01/01/2020";"0200";"23,4";"23,8";"22,9";"97,0";"";"";"";"";"";"";"975,9";"";"0,0";"180,0";"2,1";"";"0,0"
"01/01/2020";"0300";"22,9";"23,2";"22,7";"100,0";"";"";"";"";"";"";"975,8";"";"0,0";"180,0";"2,0";"";"0,0"
"01/01/2020";"0400";"23,3";"23,8";"22,8";"96,0";"";"";"";"";"";"";"975,4";"";"1,0";"225,0";"3,6";"";"0,0"
"01/01/2020";"0500";"23,1";"23,4";"22,8";"98,0";"";"";"";"";"";"";"975,2";"";"0,0";"0,0";"2,6";"";"0,0"
"01/01/2020";"0600";"22,8";"23,1";"22,5";"100,0";"";"";"";"";"";"";"974,4";"";"0,0";"90,0";"1,0";"";"0,0"
"01/01/2020";"0700";"22,7";"23,2";"22,3";"99,0";"";"";"";"";"";"";"974,4";"";"1,0";"315,0";"3,0";"";"0,0"
"01/01/2020";"0800";"22,3";"22,9";"21,9";"100,0";"";"";"";"";"";"";"974,4";"";"0,0";"180,0";"1,1";"";"0,0"
"01/01/2020";"0900";"21,9";"22,2";"21,6";"100,0";"";"";"";"";"";"";"974,6";"";"0,0";"270,0";"2,3";"3,60";"0,0"
"01/01/2020";"1000";"22,9";"25,0";"21,6";"97,0";"";"";"";"";"";"";"975,1";"";"0,0";"90,0";"1,2";"294,30";"0,0"
"01/01/2020";"1100";"26,2";"27,7";"24,6";"86,0";"";"";"";"";"";"";"975,6";"";"1,0";"225,0";"4,1";"1011,60";"0,0"
"01/01/2020";"1200";"27,7";"28,9";"26,8";"80,0";"";"";"";"";"";"";"975,9";"";"2,0";"225,0";"4,1";"1306,80";"0,0"
"01/01/2020";"1300";"29,7";"31,0";"28,5";"72,0";"";"";"";"";"";"";"976,0";"";"2,0";"225,0";"4,7";"2090,70";"0,0"
"01/01/2020";"1400";"30,3";"31,4";"29,6";"72,0";"";"";"";"";"";"";"976,0";"";"2,0";"225,0";"5,4";"2523,60";"0,0"
"01/01/2020";"1500";"31,0";"32,3";"29,9";"69,0";"";"";"";"";"";"";"975,8";"";"3,0";"270,0";"5,9";"2539,80";"0,0"
"01/01/2020";"1600";"31,4";"32,4";"30,4";"67,0";"";"";"";"";"";"";"975,0";"";"3,0";"270,0";"5,5";"2335,50";"0,0"
"01/01/2020";"1700";"32,0";"33,0";"30,8";"66,0";"";"";"";"";"";"";"974,0";"";"2,0";"270,0";"6,0";"2626,20";"0,0"
"01/01/2020";"1800";"29,5";"33,3";"25,7";"78,0";"";"";"";"";"";"";"973,0";"";"3,0";"225,0";"10,5";"2037,60";"0,8"
"01/01/2020";"1900";"28,6";"31,3";"24,2";"84,0";"";"";"";"";"";"";"972,3";"";"3,0";"225,0";"14,3";"2500,80";"6,0"
"01/01/2020";"2000";"29,8";"31,4";"28,5";"76,0";"";"";"";"";"";"";"971,8";"";"1,0";"225,0";"6,0";"1075,50";"0,0"
"01/01/2020";"2100";"27,3";"28,9";"26,4";"84,0";"";"";"";"";"";"";"971,8";"";"2,0";"0,0";"5,6";"811,80";"0,0"
"01/01/2020";"2200";"26,1";"26,7";"25,4";"90,0";"";"";"";"";"";"";"972,2";"";"1,0";"0,0";"3,7";"470,70";"0,6"
"01/01/2020";"2300";"24,9";"25,7";"24,4";"99,0";"";"";"";"";"";"";"972,6";"";"0,0";"0,0";"1,9";"43,20";"0,0"
"02/01/2020";"0000";"24,1";"24,6";"23,9";"100,0";"";"";"";"";"";"";"973,5";"";"0,0";"0,0";"2,6";"";"0,0"
"02/01/2020";"0100";"24,0";"24,3";"23,9";"100,0";"";"";"";"";"";"";"974,3";"";"0,0";"180,0";"2,4";"";"0,0"
"02/01/2020";"0200";"24,0";"24,3";"23,7";"100,0";"";"";"";"";"";"";"974,6";"";"1,0";"45,0";"3,2";"";"0,0"
"02/01/2020";"0300";"23,7";"24,0";"23,4";"100,0";"";"";"";"";"";"";"974,4";"";"1,0";"135,0";"3,1";"";"0,0"
"02/01/2020";"0400";"23,9";"24,2";"23,6";"99,0";"";"";"";"";"";"";"973,9";"";"0,0";"0,0";"1,4";"";"0,0"
"02/01/2020";"0500";"23,1";"23,8";"22,9";"100,0";"";"";"";"";"";"";"973,2";"";"0,0";"0,0";"1,9";"";"0,0"
"02/01/2020";"0600";"22,9";"23,3";"22,7";"100,0";"";"";"";"";"";"";"972,9";"";"0,0";"45,0";"1,3";"";"0,0"
"02/01/2020";"0700";"22,9";"23,1";"22,7";"100,0";"";"";"";"";"";"";"972,9";"";"0,0";"225,0";"2,4";"";"0,0"
"02/01/2020";"0800";"23,0";"23,3";"22,9";"100,0";"";"";"";"";"";"";"973,0";"";"0,0";"180,0";"1,1";"";"0,0"
"02/01/2020";"0900";"23,4";"23,6";"23,1";"100,0";"";"";"";"";"";"";"973,5";"";"0,0";"180,0";"1,8";"2,70";"0,0"
"02/01/2020";"1000";"23,6";"24,1";"23,3";"100,0";"";"";"";"";"";"";"974,1";"";"0,0";"90,0";"1,7";"68,40";"0,0"
"02/01/2020";"1100";"24,2";"24,5";"23,9";"99,0";"";"";"";"";"";"";"974,6";"";"0,0";"135,0";"2,5";"249,30";"0,0"
"02/01/2020";"1200";"24,8";"25,3";"24,1";"96,0";"";"";"";"";"";"";"975,2";"";"1,0";"90,0";"2,3";"489,60";"0,0"
"02/01/2020";"1300";"25,8";"26,7";"25,1";"90,0";"";"";"";"";"";"";"975,5";"";"1,0";"135,0";"2,5";"997,20";"0,0"
"02/01/2020";"1400";"27,5";"28,1";"26,5";"84,0";"";"";"";"";"";"";"975,8";"";"1,0";"135,0";"3,8";"1551,60";"0,0"
"02/01/2020";"1500";"28,8";"30,0";"27,6";"78,0";"";"";"";"";"";"";"975,6";"";"1,0";"90,0";"2,8";"1760,40";"0,2"
"02/01/2020";"1600";"29,6";"30,9";"28,8";"75,0";"";"";"";"";"";"";"975,2";"";"1,0";"225,0";"2,9";"1773,00";"0,0"
