"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2021";"0000";"23,5";"23,9";"23,1";"100,0";"";"";"";"";"";"";"979,0";"";"1,0";"0,0";"2,6";"";"0,0"
"01/01/2021";"0100";"22,8";"23,3";"22,4";"100,0";"";"";"";"";"";"";"979,7";"";"1,0";"0,0";"2,0";"";"0,0"
"01/01/2021";"0200";"22,6";"22,8";"22,4";"100,0";"";"";"";"";"";"";"980,0";"";"0,0";"0,0";"2,2";"";"0,0"
"01/01/2021";"0300";"22,6";"22,8";"22,3";"100,0";"";"";"";"";"";"";"979,9";"";"0,0";"0,0";"2,0";"";"0,0"
"01/01/2021";"0400";"22,7";"23,0";"22,5";"100,0";"";"";"";"";"";"";"979,5";"";"1,0";"315,0";"3,8";"";"0,0"
"01/01/2021";"0500";"22,3";"22,8";"22,0";"100,0";"";"";"";"";"";"";"978,7";"";"0,0";"45,0";"2,5";"";"0,0"
"01/01/2021";"0600";"22,1";"22,4";"21,9";"100,0";"";"";"";"";"";"";"978,3";"";"1,0";"315,0";"3,3";"";"0,0"
"01/01/2021";"0700";"22,0";"22,2";"21,8";"100,0";"";"";"";"";"";"";"978,2";"";"1,0";"270,0";"2,4";"";"0,0"
"01/01/2021";"0800";"22,0";"22,3";"21,9";"100,0";"";"";"";"";"";"";"978,6";"";"0,0";"225,0";"2,3";"";"0,0"
"01/01/2021";"0900";"22,0";"22,3";"21,8";"100,0";"";"";"";"";"";"";"979,6";"";"0,0";"315,0";"2,3";"0,90";"0,0"
"01/01/2021";"1000";"22,1";"22,5";"21,9";"100,0";"";"";"";"";"";"";"980,2";"";"0,0";"225,0";"1,2";"99,00";"0,0"
"01/01/2021";"1100";"23,4";"25,2";"22,3";"98,0";"";"";"";"";"";"";"980,5";"";"0,0";"90,0";"2,1";"958,50";"0,0"
"01/01/2021";"1200";"25,9";"28,4";"24,7";"86,0";"";"";"";"";"";"";"981,0";"";"0,0";"135,0";"2,2";"1533,60";"0,0"
"01/01/2021";"1300";"27,1";"28,5";"20,5";"85,0";"";"";"";"";"";"";"981,3";"";"1,0";"315,0";"4,3";"1683,90";"0,0"
"01/01/2021";"1400";"28,4";"30,5";"18,7";"77,0";"";"";"";"";"";"";"981,1";"";"1,0";"315,0";"3,2";"2297,70";"0,0"
"01/01/2021";"1500";"28,9";"30,1";"26,6";"75,0";"";"";"";"";"";"";"981,0";"";"1,0";"315,0";"3,4";"2257,20";"0,0"
"01/01/2021";"1600";"29,3";"30,7";"22,5";"73,0";"";"";"";"";"";"";"980,9";"";"1,0";"0,0";"3,9";"1839,60";"0,0"
"01/01/2021";"1700";"30,0";"31,3";"28,8";"68,0";"";"";"";"";"";"";"980,4";"";"1,0";"315,0";"3,4";"1692,00";"0,0"
"01/01/2021";"1800";"31,6";"32,7";"30,2";"58,0";"";"";"";"";"";"";"979,6";"";"2,0";"270,0";"5,7";"2930,40";"0,0"
"01/01/2021";"1900";"31,6";"32,7";"27,2";"56,0";"";"";"";"";"";"";"978,9";"";"2,0";"270,0";"5,1";"2160,90";"0,0"
"01/01/2021";"2000";"32,1";"32,6";"31,6";"54,0";"";"";"";"";"";"";"978,1";"";"2,0";"225,0";"5,0";"1932,30";"0,0"
"01/01/2021";"2100";"31,8";"32,4";"31,1";"55,0";"";"";"";"";"";"";"977,7";"";"3,0";"225,0";"5,1";"1226,70";"0,0"
"01/01/2021";"2200";"30,3";"31,3";"28,7";"65,0";"";"";"";"";"";"";"977,6";"";"2,0";"225,0";"5,1";"531,00";"0,0"
"01/01/2021";"2300";"27,3";"28,9";"25,2";"77,0";"";"";"";"";"";"";"977,6";"";"3,0";"225,0";"4,9";"36,00";"0,0"
"02/01/2021";"0000";"24,0";"25,3";"22,9";"93,0";"";"";"";"";"";"";"978,0";"";"1,0";"180,0";"2,6";"";"0,0"
"02/01/2021";"0100";"22,5";"23,2";"21,9";"98,0";"";"";"";"";"";"";"978,6";"";"0,0";"180,0";"1,5";"";"0,0"
"02/01/2021";"0200";"21,4";"22,2";"20,8";"100,0";"";"";"";"";"";"";"979,0";"";"0,0";"180,0";"1,5";"";"0,0"
"02/01/2021";"0300";"20,8";"21,4";"20,4";"100,0";"";"";"";"";"";"";"979,0";"";"0,0";"180,0";"1,4";"";"0,0"
"02/01/2021";"0400";"20,6";"20,9";"20,3";"100,0";"";"";"";"";"";"";"978,8";"";"0,0";"180,0";"0,7";"";"0,0"
"02/01/2021";"0500";"20,2";"20,8";"19,7";"100,0";"";"";"";"";"";"";"978,3";"";"0,0";"225,0";"1,3";"";"0,0"
"02/01/2021";"0600";"19,4";"20,2";"19,0";"100,0";"";"";"";"";"";"";"978,0";"";"0,0";"225,0";"1,3";"";"0,0"
"02/01/2021";"0700";"19,2";"19,9";"18,3";"100,0";"";"";"";"";"";"";"978,2";"";"0,0";"225,0";"1,7";"";"0,0"
"02/01/2021";"0800";"18,5";"18,8";"18,2";"100,0";"";"";"";"";"";"";"978,6";"";"0,0";"180,0";"1,5";"";"0,0"
"02/01/2021";"0900";"18,4";"18,8";"18,0";"100,0";"";"";"";"";"";"";"978,9";"";"0,0";"180,0";"2,2";"3,60";"0,0"
"02/01/2021";"1000";"19,6";"22,1";"18,1";"99,0";"";"";"";"";"";"";"979,4";"";"0,0";"180,0";"1,6";"270,00";"0,0"
"02/01/2021";"1100";"23,5";"25,5";"21,7";"91,0";"";"";"";"";"";"";"979,9";"";"1,0";"180,0";"2,4";"922,50";"0,0"
"02/01/2021";"1200";"25,9";"26,6";"25,2";"80,0";"";"";"";"";"";"";"980,2";"";"2,0";"90,0";"4,4";"1628,10";"0,0"
"02/01/2021";"1300";"26,9";"28,0";"26,1";"81,0";"";"";"";"";"";"";"980,3";"";"2,0";"90,0";"4,4";"2293,20";"0,0"
"02/01/2021";"1400";"28,4";"29,8";"27,3";"77,0";"";"";"";"";"";"";"980,2";"";"2,0";"90,0";"4,6";"2869,20";"0,0"
"02/01/2021";"1500";"29,8";"30,8";"28,8";"71,0";"";"";"";"";"";"";"979,9";"";"2,0";"90,0";"4,3";"3276,90";"0,0"
"02/01/2021";"1600";"31,1";"32,3";"29,9";"61,0";"";"";"";"";"";"";"979,5";"";"1,0";"135,0";"3,7";"3579,60";"0,0"
"02/01/2021";"1700";"31,4";"32,8";"23,1";"58,0";"";"";"";"";"";"";"978,6";"";"1,0";"0,0";"5,1";"2883,60";"0,0"
"02/01/2021";"1800";"31,7";"33,3";"27,0";"53,0";"";"";"";"";"";"";"977,8";"";"1,0";"315,0";"4,6";"2330,40";"0,0"
"02/01/2021";"1900";"32,5";"34,0";"31,4";"51,0";"";"";"";"";"";"";"976,9";"";"1,0";"270,0";"6,6";"2778,30";"0,0"
"02/01/2021";"2000";"32,3";"33,4";"31,6";"51,0";"";"";"";"";"";"";"975,9";"";"2,0";"270,0";"5,3";"1885,50";"0,0"
"02/01/2021";"2100";"32,1";"32,9";"31,5";"45,0";"";"";"";"";"";"";"975,3";"";"2,0";"270,0";"5,2";"1238,40";"0,0"
"02/01/2021";"2200";"31,1";"32,0";"30,2";"52,0";"";"";"";"";"";"";"975,1";"";"1,0";"270,0";"3,5";"539,10";"0,0"
"02/01/2021";"2300";"27,1";"30,4";"24,7";"80,0";"";"";"";"";"";"";"975,1";"";"0,0";"270,0";"2,1";"36,90";"0,0"
"03/01/2021";"0000";"24,3";"25,0";"18,3";"95,0";"";"";"";"";"";"";"975,1";"";"0,0";"0,0";"1,5";"";"0,0"
"03/01/2021";"0100";"22,8";"23,5";"22,1";"99,0";"";"";"";"";"";"";"975,6";"";"0,0";"225,0";"0,9";"";"0,0"
"03/01/2021";"0200";"21,6";"22,4";"21,1";"100,0";"";"";"";"";"";"";"975,9";"";"0,0";"180,0";"0,8";"";"0,0"
"03/01/2021";"0300";"21,2";"21,7";"20,6";"100,0";"";"";"";"";"";"";"975,6";"";"0,0";"225,0";"0,9";"";"0,0"
"03/01/2021";"0400";"20,5";"21,1";"20,0";"100,0";"";"";"";"";"";"";"975,0";"";"0,0";"180,0";"1,2";"";"0,0"
"03/01/2021";"0500";"19,7";"20,4";"19,4";"100,0";"";"";"";"";"";"";"974,4";"";"0,0";"180,0";"1,2";"";"0,0"
"03/01/2021";"0600";"19,6";"20,1";"19,2";"100,0";"";"";"";"";"";"";"974,0";"";"0,0";"225,0";"1,0";"";"0,0"
"03/01/2021";"0700";"19,6";"20,0";"14,2";"100,0";"";"";"";"";"";"";"974,5";"";"0,0";"315,0";"2,0";"";"0,0"
"03/01/2021";"0800";"20,7";"22,7";"19,4";"99,0";"";"";"";"";"";"";"975,0";"";"0,0";"135,0";"2,4";"";"0,0"
"03/01/2021";"0900";"21,8";"22,6";"21,1";"99,0";"";"";"";"";"";"";"975,5";"";"0,0";"45,0";"1,8";"3,60";"0,0"
"03/01/2021";"1000";"22,6";"23,8";"21,7";"97,0";"";"";"";"";"";"";"976,6";"";"1,0";"90,0";"4,9";"319,50";"0,0"
"03/01/2021";"1100";"24,6";"25,8";"23,2";"89,0";"";"";"";"";"";"";"977,3";"";"4,0";"45,0";"7,3";"1043,10";"0,0"
